"interaction_dt","campaign_nm","placement_nm","impressions","clicks","givt","fraud_impressions"
"2026-06-02","video yandex // Май 2026_","gvl_yandex_msk_video_may26_none_hor-bf_int-premium-real-estate-outstream_prg",0,1,0,0
"2026-06-13","promopages // Май 2026_","sp_promopages_msk_article_may26_none_terrasa_new-users_none_cont",599,0,0,0
"2026-06-23","Мичуринский // Solta // июнь 2026","lm_solta_msk_video_jun26_none_lift-bf_real-estate_prg",82590,796,1838,1271
"2026-07-07","Мичуринский // Media yandex // июнь 2026","lm_yandex_msk_banner_jun26_none_bf_lal-calls_prg",0,1,0,0
"2026-06-25","Нижегородская // Media yandex // июнь 2026","ng_family_yandex_msk_banner_jun26_none_basic_int-parents-residential-properties-new_prg",3660,11,0,0
"2026-07-04","Южнопортовая // Ozon // июль 2026","sp_ozon_msk_banner_jul26_none_sale_int-active-leisure_mrk",9703,12,346,0
"2026-06-14","Звенигородская // market yandex // июнь 2026","zv_yandexmarket_msk_banner_jun26_none_minus40_real-estate_mrk",5428,24,209,847
"2026-06-12","Свободы // Media yandex // июнь 2026","lwsv_yandex_msk_banner_jun26_none_bf_jt-fin-for-business_prg",0,8,0,0
"2026-07-19","Павелецкая Сити // Video yandex // июнь 2026","pc_yandex_msk_video_jun26_none_bf_int-travel-rest_prg",0,1,0,0
"2026-06-09","Воронцовская // Video yandex // июнь 2026","vr_yandex_msk_video_jun26_none_basic_visitors-sites-list-2_prg",9517,501,0,0
"2026-05-29","yandex Go // Май 2026_","zv_yandexgo_msk_banner_may26_none_bf_none_med",5301,8,600,369
"2026-06-22","Остатки // market yandex // июнь 2026","lg_last_yandexmarket_msk_banner_jun26_none_key-pr_real-estate_mrk",3296,10,111,606
"2026-07-05","Воронцовская // Video yandex // июнь 2026","vr_yandex_msk_video_jun26_none_basic_int-sale-rent-commercial_prg",0,1,0,0
"2026-07-02","Зонтик регионы // Video yandex // июль 2026","lg_yandex_video_reg_prov_jul26_pfo_lift_genres-real-estate_prg",0,1,0,0
"2026-07-16","Остатки // Media yandex // июнь 2026","lg_last_yandex_msk_banner_jun26_none_key-pr_utp-keys-26_prg",0,1,0,0
"2026-06-22","video yandex // Май 2026_","sp_family_yandex_msk_video_may26_none_hor_int-kids-real-estate_prg",0,1,0,0
"2026-07-20","Воронцовская // Video yandex // июль 2026","vr_yandex_msk_video_jul26_none_vvod2026_int-sale-rent-commercial_prg",3483,47,0,0
"2026-07-08","Павелецкая Сити // Video yandex // июнь 2026","pc_yandex_msk_video_jun26_none_lift-bf_visitors-sites-real-estate_prg",0,1,0,0
"2026-05-12","video yandex // Май 2026_","lm_yandex_msk_video_may26_none_hor_int-premium-real-estate-no-button_prg",5219,8,0,0
"2026-07-17","Южнопортовая // Video yandex // июнь 2026","sp_family_yandex_msk_video_jun26_none_basic_int-family-all_prg",0,1,0,0
"2026-06-08","Южнопортовая регионы // Avito // июнь 2026","sp_avito-ads_reg_banner_jun26_none_minus40_int-premium-apartments_mrk",151,0,2,0
"2026-07-21","Остатки // Media yandex // июль 2026","lg_last_yandex_msk_banner_jul26_none_key-pr_int-residential-properties-new_prg",4262,9,0,0
"2026-07-13","promopages // Май 2026_","lg_promopages_msk_article_may26_none_pokupka-rabotnikom-lal-3min_none_cont",831,0,0,0
"2026-07-29","Мичуринский регионы // Avito Медийка // июль 2026","lm_avito-ads_banner_reg_prov_jul26_cfo_sale_int-premium-real-estate_mrk",0,2,0,0
"2026-06-03","Воронцовская // Video yandex // июнь 2026","vr_yandex_msk_video_jun26_none_basic_plan-open-business_prg",17811,16,6,0
"2026-06-23","Нижегородская // Video yandex // июнь 2026","ng_yandex_msk_video_jun26_none_lift_bf_int-residential-properties-new_prg",7364,232,1,0
"2026-06-16","media yandex // Май 2026_","lm_family_yandex_msk_banner_may26_none_basic_ret-view-video_prg",0,1,0,0
"2026-06-10","Мичуринский // Solta // июнь 2026","lm_solta_msk_video_jun26_none_bf_real-estate_prg",81535,431,1754,1331
"2026-07-31","video yandex // Май 2026_","gvl_yandex_msk_video_may26_none_hor_int-mortgage_prg",0,1,0,0
"2026-07-29","Южнопортовая регионы // Media yandex // июнь 2026","sp_yandex_reg_banner_jun26_none_bf_jt-real-estate_prg",0,1,0,0
"2026-07-28","media yandex // Май 2026_","sp_yandex_reg_banner_may26_none_basic_int-premium-residential-properties_prg",0,1,0,0
